feature,mean_importance
g-392,0.006775008684405038
g-50,0.005635616076541202
g-91,0.005437221589858808
g-235,0.0053315397465450885
g-443,0.005161201514192399
c-6,0.004645557624550655
g-178,0.0044404652012534655
c-31,0.0043854721137066505
g-763,0.004334406490902111
g-538,0.004268244942208737
c-93,0.0042435088225407
g-100,0.004125219264196167
g-118,0.0040349982694738344
g-206,0.003979262682990602
g-203,0.003933801164820808
g-280,0.003915942530484224
c-38,0.003895904148482531
g-635,0.003888056073408244
g-391,0.003872634246584286
g-138,0.003832451786873638
g-410,0.003717654066041595
c-94,0.0036819113277260463
g-175,0.003680703699435152
g-466,0.003625332695050828
g-597,0.0035889233918634535
g-744,0.003580807146184063
g-265,0.0035204663393470243
g-76,0.003519276667228739
g-680,0.003509158346889469
g-123,0.0034714324066740837
g-640,0.0034353991751646623
g-558,0.003420273108402125
g-431,0.0033651401618818326
g-672,0.0033482761553835076
c-63,0.0033451146633632594
g-30,0.00334418604619517
g-500,0.003324715204492246
g-141,0.003288974967838456
g-308,0.0032476578775149346
g-60,0.003238386419091374
g-764,0.0032034936224626083
g-628,0.0031727315815099485
g-63,0.0031686128453872276
g-134,0.0031590954405220726
g-322,0.003152801252664844
g-352,0.003122448054076782
c_mean,0.003060594008867705
c-26,0.0030463622506177175
g-158,0.0030360294754746783
g-169,0.003007549618803532
c-65,0.0030030284620846475
c-70,0.0029819275406304576
g-164,0.002980696347221795
g-406,0.0029794391399859113
g-524,0.0029647620026673036
g-606,0.0029518321126473183
g-146,0.0029423018837155123
c-50,0.002939627557112019
g-357,0.0029320909276163007
g-634,0.002917902602012763
g-268,0.0028946812282727476
g-402,0.002883923823801237
g-761,0.0028822129089426936
g-257,0.0028777257769967974
g-202,0.002877669136259996
g-80,0.002865285202771834
g-418,0.0028444367582617616
g-52,0.0028315262336072707
c-17,0.0028080465540053713
g-771,0.0028078484177720704
g-629,0.002801195185098921
c_std,0.002791644692468582
g-113,0.0027570837144333437
g-590,0.0027541288816937057
g-23,0.002748702133791859
g-176,0.002742678725692174
g-140,0.002725581843036528
g-678,0.0027254785595324767
c-96,0.0027232330630519415
g-247,0.0027067418672926595
g-607,0.0027064905215162583
g-296,0.0027039023212153176
g-181,0.0026948154465078846
g-363,0.002690890664649256
g-364,0.002690627327899305
g-185,0.0026799927457993745
c-97,0.0026735241417245228
g-476,0.002667463199121886
g-315,0.0026629495599730336
g-75,0.0026616541319747188
g-210,0.0026507697092680864
g-198,0.002644624075298085
g-311,0.0026435516879259277
c-78,0.0026382756222428127
g-115,0.0026315100338633345
g-142,0.0026300968313864572
g-108,0.002629165818821293
g-341,0.002626202462374303
g-755,0.0026186160943516374
g-720,0.0026157028122213814
g-248,0.002612696221367955
g-174,0.0026095323117688684
g-54,0.002607941983863958
c-18,0.002601254352255273
g-620,0.0025947841421463274
g-136,0.0025846944349582498
g-278,0.002584167577776731
g-505,0.002581487358387397
g-478,0.0025799709292343965
g-68,0.0025792980641816173
c-42,0.0025740625035222623
c-11,0.002569214404980228
g-303,0.0025684382889618715
g-698,0.0025635910673846365
c-86,0.0025622547568214474
g-699,0.0025618621365884
g-731,0.0025597037225513625
g-525,0.0025505989036473348
c-98,0.0025486901837686463
g-726,0.0025482148149620384
g-119,0.002544893704217615
g-386,0.002544887232598785
g-503,0.0025358969131805166
g-297,0.002534204684546607
g-683,0.002529369883272243
g-201,0.0025277576746236523
g-543,0.002526579479853329
g-713,0.00251871161348071
g-555,0.00251518842806041
g-148,0.002514047046193967
g-594,0.0025139938056895606
g-37,0.002513504537595997
g-615,0.0025128657474647624
c-73,0.002506437698276453
g-403,0.002506005341189331
c-32,0.0024950019759769253
g-57,0.002490064514364845
g-468,0.002484273855247315
g-484,0.0024813557414557407
g-69,0.002480288567967524
g-512,0.002478384326760606
g_mean,0.002471890824914406
g-97,0.0024713193997999154
c-84,0.002469953710844849
g-346,0.0024635117439605098
g-135,0.002462547675819393
c-54,0.0024615649685792696
g-675,0.0024609325104909333
g-423,0.002460727779883841
c-25,0.0024603415748104636
g-34,0.0024601481673603284
g-254,0.0024541233994991576
c-53,0.0024539547383077166
g-528,0.002453136268236212
g-89,0.002449020355739965
g-660,0.0024460521319942725
g-398,0.002444214174971191
g-114,0.0024417603462814678
c-30,0.002439397745074525
g-492,0.0024374702876588873
g-192,0.0024298606514984128
c-19,0.0024293865252814793
g-623,0.0024224057755511137
c-15,0.0024211036216735277
g-586,0.0024182271057808734
g-489,0.0024157106151554988
g-354,0.0024149039089162204
c-48,0.002411580406724986
c_skew,0.0024079110348051514
g-228,0.0024069715581864497
g-21,0.002403944116757372
g-48,0.002402784353937172
g-685,0.002397427014505245
g-282,0.0023900552728807396
g-444,0.0023810345569733114
g-231,0.0023797545681308366
g-766,0.002377652416943328
g-467,0.002377254647119224
g-81,0.0023770945991816346
g-411,0.0023736155803268833
g-570,0.002371682144322763
g-688,0.002367023840800335
g-580,0.0023642916814686065
g-639,0.0023609494622819165
g-725,0.0023604550460268195
g-147,0.002355539105350815
g-369,0.002354342907879851
g-636,0.0023540913958262277
g-381,0.0023495160346700887
g-459,0.0023476102458884246
g-566,0.0023468850129275067
c-77,0.0023423330140388988
g-460,0.0023411217959521755
g_std,0.002340490178687365
c-76,0.002335605498154141
g-469,0.0023352186746474855
g-61,0.0023338306760034393
c-10,0.0023328351891883535
g-493,0.0023273825490781066
g-194,0.002324446155171275
g-758,0.002315691386231372
g-298,0.0023150532675653007
g-375,0.0023148205119940535
g-529,0.0023136630730084765
g-553,0.0023127163535196474
g-504,0.002308789067595791
g-486,0.0023074213906024614
c-79,0.0023047118476373233
g-724,0.0023018686196149465
c-14,0.0022980965370856376
g-568,0.0022976467272420183
c-75,0.002291809592184378
g-721,0.002289994119759714
g-170,0.0022881103290219793
g-106,0.002287433275108907
g-246,0.002286130191432947
c-64,0.00228363740681748
g-39,0.002281449970663473
g-394,0.002280958636673439
g-66,0.002277814242038189
c-0,0.0022765183464565223
g-173,0.002275030830283194
g-244,0.0022738699454470366
g-128,0.0022734781546755885
g-314,0.0022717809890678274
g-65,0.0022674553717973583
g-188,0.002266227088235403
g-481,0.002263582188768007
c-23,0.0022621572979947577
g-679,0.002261044068739076
g-149,0.002257768884726986
g-199,0.002256950766460905
g-395,0.0022556096354273063
g-502,0.0022545780855220544
g-351,0.0022517300059671213
g-669,0.0022478586341035138
g-507,0.002246874175012731
g-692,0.0022450585878206683
g-116,0.002242327194992596
g-473,0.002238052220074984
g-166,0.0022313354944710198
g-630,0.002230031747180024
g-328,0.002218874264148555
g-426,0.002218467641125556
g-662,0.0022130547166128163
g-122,0.002211973814841764
g-611,0.0022082831307749795
g-596,0.0022078516870991352
c-45,0.0022037696049734233
g-293,0.0022016417973537675
g-84,0.0021971583123847243
g-735,0.0021947763547036894
g-190,0.0021926570352142167
